Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 7,"Native group, Bloody Fall, Coppermine River, N.W.T. [Nunavut]",Department of the Interior photographic records (North West Territories)Library and Archives Canada/PA-048001 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T20%3A24%3A20Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193725&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,"Inuit in front of tupiks at Eywack Station, Pond Inlet, N.W.T., [(Mittimatalik/Tununiq), Nunavut], October 1906.",C.G.S. Arctic Album 2/ Library and Archives Canada/ PA-165674,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-09T22%3A33%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3232556&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,Copyright: Expired
Module 7,Map of the Dominion of Canada,Library and Archives Canada /80101/245 CA,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-10T02%3A58%3A43Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3698240&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,Flag of the American Indian Movement,Tripodero/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Flag_of_the_American_Indian_Movement.svg,Copyright: Expired
Module 7,Métis Nation flag,Corbin Fraser/ CC BY 2.0, http://corbinfraser.photos/tag/flag/ ,
Module 7,Metis Sash,University of Alberta,No link to image,Copyright: University of Alberta
Module 7,Councillors of the Provisional Government of the Métis Nation,"Topley Series TXB, Library and Archives Canada/ PA-012854",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-10T14%3A39%3A48Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194516&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 7,Nisga'a Lands,"Queen's Printer,
Victoria, British Columbia, Canada",http://www.bclaws.ca/EPLibraries/bclaws_new/document/ID/freeside/99002_32,"Copyright (c) Queen's Printer,
Victoria, British Columbia, Canada"
Module 7,"Atikamekw woman, young girl and an infant in a cradle board in a canoe, Sanmaur, Quebec",Department of the Interior photographic records (Quebec)/ Library and Archives Canada/ PA-044224,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-16T02%3A42%3A00Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3370405&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 7,National Aboriginal Day 2014,University of the Fraser Valley/Flickr/ CC BY 2.0,https://flic.kr/p/nJjw1V,https://creativecommons.org/licenses/by/2.0/
Module 7,Passport,Pixabay/ CC0 Public Domain,"https://pixabay.com/en/passport-document-traveling-576913/#""",https://creativecommons.org/publicdomain/zero/1.0/deed.en
Module 7,Gavel,Pixabay/ CC0 Public Domain,https://pixabay.com/en/law-justice-court-judge-legal-1063249/,https://creativecommons.org/publicdomain/zero/1.0/deed.en
Module 7,Smudge bowl and sage,University of Alberta,No link to image,Copyright: University of Alberta
Module 7,Toronto from Above,Marcela/Flickr/ CC BY 2.0,https://flic.kr/p/Fn8g7d,https://creativecommons.org/licenses/by/2.0/
Module 7,Idle No More forum at UFV,University of the Fraser Valley/Flickr/ CC BY 2.0,https://flic.kr/p/dPqddf,https://creativecommons.org/licenses/by/2.0/
Module 7,Aboriginal gathering place,University of the Fraser Valley/Flickr/ CC BY 2.0,https://flic.kr/p/bnAz7F,https://creativecommons.org/licenses/by/2.0/
Module 7,Distillery District 14,DGriebeling/Flickr/ CC BY 2.0 ,https://flic.kr/p/6Sfaua ,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 8,Protect Wild Salmon,University of the Fraser Valley/Flickr/ CC BY 2.0 ,https://flic.kr/p/pR3vnp,https://creativecommons.org/licenses/by/2.0/
Module 8,Brenda Morency Painting 080102 ,University of Alberta/ Brenda Morency,No link to image,Copyright: Brenda Morency
Module 8,Lutsel K'e,Leslie Philipp/Flickr/ CC BY 2.0 ,https://flic.kr/p/F9PEL,https://creativecommons.org/licenses/by/2.0/
Module 8,Fish,Maarit Lundbäck/Flickr/ CC BY 2.0 ,https://flic.kr/p/btYUco,https://creativecommons.org/licenses/by/2.0/
Module 8,Faith Drying Hide ,James Emery/Flickr/ CC BY 2.0 ,https://flic.kr/p/ixT6Aw,https://creativecommons.org/licenses/by/2.0/
Module 8,"Ike Bolt, oldest hunter and native of Forsyth Bay, Northwest Territoires [Nunavut]","J. A. McDougal, Indian and Northern Affairs. Departmental library albums, Library and Archives Canada/ e008440837",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-22T16%3A49%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3847079&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 8,Syncrude 2012,jasonwoodhead23/ Flickr/ CC BY 2.0 ,https://flic.kr/p/bVWCSS,https://creativecommons.org/licenses/by/2.0/
Module 8,Caribou Herd,Ben Townsend/Flickr/ CC BY 2.0 ,https://flic.kr/p/z1ms8,https://creativecommons.org/licenses/by/2.0/
Module 8,Alaskan Caribou,NPS Climate Change Response/Flickr/ CC BY 2.0 ,https://flic.kr/p/AfgKTt,https://creativecommons.org/licenses/by/2.0/
Module 8,Marble Down,Mike Beauregard/Flickr/ CC BY 2.0,https://www.flickr.com/photos/31856336@N03/8473288675/in/photolist-dUKPw4-dURprE-g2FK61-mpCh1H-8ykx5y-8mbjoS-as1Ffg-e1dPrY-g2FJYN-6VPsx7-f4hqop-8NzAwv-8c3iHu-9XQ4av-fHn27e-boRpoh-fkhsCm-8qHNrU-8XGmLH-7Xinnp-8XKoqd-8UEZ4p-a6s7T5-8x8BrT-a3Mpqf-9brLVu-buDqo3-8ujnZu-9hsxmK-aPTacF-9ySHot-8NzznR-7Hvc5d-5JM3YU-8mwn62-bUtmwr-crz3sd-8ujnjo-wTRzgd-9y6E1S-fgeu2c-dgWTYy-fhuaMV-egrqpP-6VPswY-963mLc-7WyPWj-7aY5xb-cLqKk1-8oqUZY,https://creativecommons.org/licenses/by/2.0/
Module 8,Frozen Lake ,Thank you for visiting my page/Flickr/ CC BY 2.0,https://flic.kr/p/rvx5s7,https://creativecommons.org/licenses/by/2.0/
Module 8,Nisga’a Signing - 916988,"916988 Nisga'a hereditary chiefs prepare to enter the Gitlakdamix recreation facility for the historic signing of the Nisga'a treaty in New Aiyansh, B.C., August 4, 1998 THE CANADIAN PRESS/Nick Procaylo",Link to image is in U of A google drive,Copyright: 5 years only The Canadian Press/Photographer
Module 8,Nisga’a Signing - 1182221,"1182221 Minister of Indian Affairs and Northern Development Jane Stewart, Nisga'a Tribal Chief Dr. Joseph Gosnell Sr. and B.C. Premier Glen Clark celebrate after signing the historic Nisga'a treaty in New Aiyansh, B.C. in this Aug. 4, 1998 file photo. THE CANADIAN PRESS/ Nick Procaylo",Link to image is in U of A google drive,Copyright: 5 years only The Canadian Press/Photographer
Module 8,Fish ,Jennifer C./Flickr/ CC BY 2.0,https://flic.kr/p/ddUkdp,https://creativecommons.org/licenses/by/2.0/
Module 8,"Supreme Court of Canada, Wellington St, Ottawa (492067)",Robert Linsdell/ Flickr/ CC BY 2.0,https://flic.kr/p/fp7F5y,https://creativecommons.org/licenses/by/2.0/
Module 8,Harris Canyon,David Stanley/ Flickr/ CC BY 2.0,https://flic.kr/p/mezVYG,https://creativecommons.org/licenses/by/2.0/
Module 8,"Tavern at Stanley, built of logs./London, pubd. March 1st 1836, by Ackermann Strand [Recto l.c.]. ",Philip Harry/ Library and Archives Canada/ 1997-91-7,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-30T16%3A55%3A50Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2837704&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 8,CNR Main Line,steveandtwyla/Flickr/ CC BY 2.0,https://flic.kr/p/fB8uoj,https://creativecommons.org/licenses/by/2.0/
Module 8,During a snow storm in Calgary, Canada. Dept. of Mines and Resources / Library and Archives Canada / PA-020560,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-22T21%3A56%3A10Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3302624&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 8,North Saskatchewan River,Kevin M Klerks/ Flickr/ CC BY 2.0,https://flic.kr/p/o7mpoL,https://creativecommons.org/licenses/by/2.0/
Module 8,Inuit women in new parkas awaiting the arrival of passengers from the RMS (Royal Mail Ship) Nascopie,BiblioArchives / LibraryArchives/ Flickr/ CC BY 2.0,https://flic.kr/p/7vE1Bi,https://creativecommons.org/licenses/by/2.0/
Module 8,Nunavut ,Mike Beauregard/Wikimedia Commons/ CC BY 2.0 ,https://commons.wikimedia.org/wiki/File:Above_the_Swirl.jpg,https://creativecommons.org/licenses/by/2.0/
Module 8,Storm clouds,Jukka/Flickr/ CC BY 2.0,https://flic.kr/p/oScGx7,https://creativecommons.org/licenses/by/2.0/
Module 8,Nunavut Grunge Flag,Nicolas Raymond/Flickr/ CC BY 2.0,https://flic.kr/p/cfyr8j,https://creativecommons.org/licenses/by/2.0/
Module 8,"Mississauga, Ontario (506137)",Robert Linsdell/ Flickr/ CC BY 2.0,https://flic.kr/p/G3h7nS,https://creativecommons.org/licenses/by/2.0/
Module 8,Snow melt hydro power,Richard Child/Flickr/ CC BY 2.0,https://flic.kr/p/4RA6ce,https://creativecommons.org/licenses/by/2.0/
Module 8,Idle No More,OFL Communications Department/Flickr/ CC BY 2.0,https://flic.kr/p/pcyzXd,https://creativecommons.org/licenses/by/2.0/
Module 8,"Day’s End, Frobisher Bay ",Mike Beauregard/Flickr/ CC BY 2.0,https://www.flickr.com/photos/31856336@N03/10566711594/in/photolist-h6KadE-rNztFf-eVKoh5-cWQhEb-avidCX-a8mMye-fk2VKn-aviefg-n4CLKN-kPQvuX-dAHtqa-ph3FMd-e1dMB7-fQgPou-nzUp5X-f4hqop-av89fE-cW3ATq-n4CLg1-bzuNkK-aD7S8A-kPQvcn-nvsUTe-bJT8RR-iVMKF6-pAH7eB-cXt5Bq-fQgHzS-cZjHm9-8F71am-nvsUKZ-j5dUex-fzgJs4-ph3FLG-fHn2an-6Mnfoa-dkQHtD-adJniy-dkQDD3-cWQjSs-cyaS6E-dkQDcc-dxBq4L-MG3T5-9Ypw8F-bwkTVa-oXnn5B-bjTv88-rjJUYG-apC41b,
Module 8,"Tar sands, Alberta",Howl Arts Collective/Flickr/ CC BY 2.0,https://flic.kr/p/aYh3vH,https://creativecommons.org/licenses/by/2.0/
Module 8,Toxic Tarsands,ItzaFineDay/ Flickr/ CC BY 2.0,https://flic.kr/p/4WVbrE,https://creativecommons.org/licenses/by/2.0/
Module 8,"Inuit boy in front of rack of drying fish, Ivujivik, Québec","Wilfred Doucette/ National Film Board of Canada/ Still Photography Division, Library and Archives Canada/ e010955824",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-23T14%3A01%3A39Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4312109&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 8,Bull Moose,Denali National Park and Preserve/Flickr/ CC BY 2.0,https://flic.kr/p/95zEUf,https://creativecommons.org/licenses/by/2.0/
Module 8,San Francisco Oil Spill,Ingrid Taylar/Flickr/ CC BY 2.0,https://flic.kr/p/48M2Kk,https://creativecommons.org/licenses/by/2.0/
Module 8,Clear cutting,Tero Laakso/Flickr/ CC BY 2.0,https://flic.kr/p/5spt4B,https://creativecommons.org/licenses/by/2.0/
Module 8,Elk,Roderick Eime/Flickr/ CC BY 2.0,https://flic.kr/p/riF9Wj,https://creativecommons.org/licenses/by/2.0/
Module 8,Storm clouds,Jukka/Flickr/ CC BY 2.0,https://flic.kr/p/oScGx7,https://creativecommons.org/licenses/by/2.0/
Module 8,The Adios Amigos; welcome sign in Inuktitut ,Mike Beauregard/Flickr/ CC BY 2.0,https://www.flickr.com/photos/31856336@N03/4960436924/in/photolist-jxkMst-8ykx5y,
Module 8,Windy Bay forest,Sam Beebe/ Wikimedia Commons/ CC BY 2.0 ,https://commons.wikimedia.org/wiki/File:Windy_Bay_forest.jpg#,https://creativecommons.org/licenses/by/2.0/
Module 8,Haida Flag ,Io Katai/ Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:Haida_flag.png#,https://creativecommons.org/publicdomain/mark/1.0/
Module 8,Pow Wow ,Lordcolus/Flickr/ CC BY 2.0,https://flic.kr/p/3tYn8,https://creativecommons.org/licenses/by/2.0/
,,,,
Module 9 ,Portrait of Native woman with baby in Moss bag and a young girl. ,"J.F. Moran, Indian and Northern Affairs. Departmental library albums/ Library and Archives Canada/ PA-102610",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T22%3A40%3A48Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366743&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,,University of Alberta/ University of Alberta,No link to image,Copyright: University of Alberta 
Module 9 ,First Nations woman smoking a pipe,Dept. of Mines and Resources/Library and Archives Canada/ PA-021745,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-02T22%3A04%3A28Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367140&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"""Nala"" native girl of Lake Harbour, Baffin Island, N.W.T. [Nunavut]","Joseph Dewey Soper/ Indian and Northern Affairs. Departmental library albums, Library and Archives Canada/ PA-101468 ",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T19%3A43%3A48Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3380152&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"Loretta Saunders - Vigil in Ottawa, March 5, 2014",ibourgeault_tasse/Flickr/ CC BY 2.0 ,https://flic.kr/p/kKZZ1n,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Loretta Saunders - Vigil in Ottawa, March 5, 2014",ibourgeault_tasse/Flickr/ CC BY 2.0 ,https://flic.kr/p/kL2JaC,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Together, old & new in the young",SeeELMessenger/Flickr/ CC BY 2.0 ,https://flic.kr/p/cqGkjm,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Native women, R.C.M. Police post, Bache Peninsula Ellesmere Island, N.W.T., Sept. 1931","Lachlan Taylor Burwash, Indian and Northern Affairs/ Library and Archives Canada/ PA-100078",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T19%3A40%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379927&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Portrait of a Native women with a baby in her arms,Canada. Dept. of Mines & Technical Surveys/ Library and Archives Canada/ PA-034102,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T22%3A49%3A30Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367147&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired 
Module 9 ,"Native, Cambridge Bay, N.W.T., June 1929","Lachlan Taylor Burwash, Indian and Northern Affairs/ Library and Archives Canada/ PA-099946 ",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T19%3A35%3A45Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379911&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,First Nations Woman Demonstrates Drum,Mark Klotz/ Flickr/ CC BY 2.0 ,https://flic.kr/p/pSC9s3,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Gender Neutral Restroom,David Wallace/ Flickr/ CC BY 2.0 ,https://flic.kr/p/dR7knf,https://creativecommons.org/licenses/by/2.0/
Module 9 ,"Inuit women, two in traditional parkas, in front of a building, Baker Lake, 1926 ",L.T. Burwash / Canada. Dept. of Indian Affairs and Northern Development collection / Library and Archives Canada / PA-099412,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T20%3A29%3A03Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3379807&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Camp scene: Native (Loucheaux) woman working on a hide, D.L. McKeand/Indian and Northern Affairs/  Library and Archives Canada/,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T20%3A54%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366749&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,A family group Noatak,Edward S. Curtis/ Library of Congress Prints and Photographs Division Washington/ LOT 12330,http://www.loc.gov/pictures/item/97510644/,Copyright by Edward S. Curtis.
Module 9 ,"Inuit Idloujk and Kadloo look at harpooned seal on ice of Pond Inlet, off Button Point","Doug Wilkinson, National Film Board of Canada/ Library and Archives Canada/PA-145172",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-29T22%3A10%3A46Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3191740&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Two [native] girls - one standing and the other in a wooden boat on the Skeena at Kitwanga,William James Topley/Canada. Dept. of Mines and Resources/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T22%3A45%3A33Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3587913&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Native woman fishing under ice at Great Slave Lake,"Department of the Interior photographic records (North West Territories), Library and Archives Canada/ PA-048099",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T21%3A03%3A28Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367100&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Inuit woman wearing fur clothing,"Lachlan Taylor Burwash/ Indian and Northern Affairs. Departmental library albums, Library and Archives Canada/ PA-155826",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-02T00%3A36%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192120&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"A Cree woman ""casing"" an otter at home in Moose Factory Island, James Bay","Bud Glunz, National Film Board of Canada. Still Photography Division, Library and Archives Canada/ e010966839",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-11T20%3A43%3A12Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4310103&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"Native woman, Richmond Gulf, P.Q., Aug. 1927",Lachlan Taylor Burwash/ Library and Archives Canada/ PA-096679,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T20%3A32%3A53Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3380317&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Native woman making snowshoes,Department of the Interior photographic records (Quebec)/ Library and Archives Canada/ PA-044223,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T21%3A14%3A04Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367092&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"Native women, Bernard Harbour, [N.W.T.].", L.T. Burwash/ Indian and Northern Affairs/ Departmental library albums/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T20%3A20%3A24Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3376500&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Prairie scene including a Native woman from the Beaver nation on horseback along with two Native boys seated on a horse,"Canada. Dept. of Mines and Technical Surveys, Library and Archives Canada/ PA-018002",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T19%3A27%3A01Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3368315&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,"Gerald O`Connor Barrister, of Edmonton, and Kar-Kuk-Tin-Ak","J.F. Moran/Indian and Northern Affairs. Departmental library albums, Library and Archives Canada/ PA-102576 ",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T16%3A04%3A00Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3219538&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 9 ,Portrait of a young woman wearing a red jacket. Arctic / Northern Canada  ,Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975376,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T22%3A59%3A21Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4324259&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 9 ,Inuit woman and child preparing a fur skin [Ujaralaaq with her daughter or son. Ujaralaaq is the mother of Celina Irngaut.],Library and Archives Canada/Credit: Richard Harrington/Richard Harrington fonds/a147177,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T17%3A17%3A57Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3195098&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  Link to contract: https://drive.google.com/drive/folders/0B7aw4-g-HC66VGFQM3luRlV3TVE,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 9 ,"Woman cutting whale meat, near Tuktoyaktuk, N.W.T. July 23, 1956",Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975403,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T22%3A45%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4324286&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 9 ,"Cree Indian mother and two children clothed in buckskin parkas trimmed with bear fur, Lac la Ronge","Bud Glunz, National Film Board of Canada. Still Photography Division/ Library and Archives Canada/ e010966839",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-02T00%3A31%3A31Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4295779&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=en,
Module 9 ,"Native women loading cargo, Richmond Gulf, P.Q., Aug. 1927",L.T. Burwash / Library and Archives Canada / PA-096678,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T19%3A31%3A35Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3380316&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,
Module 9 ,"Five women singing, one playing the guitar, Richards Island, Inuvik, N.W.T. July, 1956", Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010975340,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-01T22%3A41%3A09Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4324223&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng  ,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada
Module 9 ,Native Indian woman beside rustic fireplace in log dwelling,"Burke (Edmonton), Visual material/ Library and Archives Canada/ PA-029843",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-04T16%3A07%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3228190&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,
Module 9 ,Pocahontas,"Le Magasin Pittoresque, 1853 by Seriykotik1970/ Wikimedia Commons/ Public Domain",https://commons.wikimedia.org/wiki/File:Pocahontas_2.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 9 ,Pocahontas Statue,Catherine/Flickr/ CC BY 2.0,https://flic.kr/p/66Lk6t,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Pocahontas show,Hector Alejandro/ Flickr/ CC BY 2.0 ,https://flic.kr/p/6munc6,https://creativecommons.org/licenses/by/2.0/
Module 9 ,Long Beach Comic Expo day 2-63,Oliver Ayala/ Flickr/ CC BY 2.0 ,https://flic.kr/p/DseMMC,https://creativecommons.org/licenses/by/2.0/
